id,name,description_sale
scenario.product_151274,"PD2 S 180 UP Master 2C SID/AL","Rilevatore di presenza 2 canali, design Sidus, alluminio"
scenario.product_151289,"PD2 S 180 UP Master 2C SOL/WG","Rilevatore di presenza 2 canali, design Solfà, bianco-lucido"
scenario.product_142399,"IS C 2L SID/WM","Interruttore della luce intelligente, 2 fili, Sidus, bianco-opaco"
scenario.product_142401,"IS C 2L STA/W","Interruttore della luce intelligente, 2 fili, Standard, bianco"
scenario.product_142402,"IS C 2L STA/S","Interruttore della luce intelligente, 2 fili, Standard, nero"
scenario.product_142411,"IS C Dimm SID/AL","Interruttore della luce intelligente, Dimm , Sidus, alluminio"
scenario.product_142424,"IS UP Dimm KAL/W","Interruttore della luce intelligente, Dimm 1-10V, Kallysto, bianco"
scenario.product_142428,"IS AP KAL/W","Interruttore della luce intelligente, Kallysto, bianco"
scenario.product_142429,"IS AP SID/W","Interruttore della luce intelligente, Sidus, bianco-opaco"
scenario.product_142430,"IS AP STA/W","Interruttore della luce intelligente, Standard, bianco"
scenario.product_142432,"IS AP 2L KAL/W","Interruttore della luce intelligente, 2 fili, Kallysto, bianco"
scenario.product_142433,"IS AP 2L SID/W","Interruttore della luce intelligente, 2 fili, Sidus, bianco-opaco"
scenario.product_142435,"IS AP Dimm EDI/W","Interruttore della luce intelligente, Dimm 1-10V, EDIZIOdue, bianco"
scenario.product_142436,"IS AP Dimm KAL/W","Interruttore della luce intelligente, Dimm 1-10V, Kallysto, bianco"
scenario.product_142438,"IS AP Dimm STA/W","Interruttore della luce intelligente, Dimm 1-10V, Standard, bianco"
scenario.product_142414,"IS C Dimm STA/S","Interruttore della luce intelligente, Dimm , Standard, nero"
scenario.product_142415,"IS UP EDI/W","Interruttore della luce intelligente, EDIZIOdue, bianco"
scenario.product_142416,"IS UP KAL/W","Interruttore della luce intelligente, Kallysto, bianco"
scenario.product_142417,"IS UP SID/W","Interruttore della luce intelligente, Sidus, bianco-opaco"
scenario.product_142421,"IS UP 2L SID/W","Interruttore della luce intelligente, 2 fili, Sidus, bianco-opaco"
scenario.product_142422,"IS UP 2L STA/W","Interruttore della luce intelligente, 2 fili, Standard, bianco"
scenario.product_142423,"IS UP Dimm EDI/W","Interruttore della luce intelligente, Dimm 1-10V, EDIZIOdue, bianco"
scenario.product_142367,"AS IS EDI/W","Set adattatori, design EDIZIOdue, bianco"
scenario.product_142185,"PD2 S 180 C Slave KAL/DG","Rilevatore di presenza Slave, design Kallysto, grigio scuro"
scenario.product_142453,"FO IR-CDS-T","Scheda  di programmazione"
scenario.product_142454,"FO RC-LLW","Scheda  di programmazione"
scenario.product_142455,"FO IR-RC","Scheda  di programmazione"
scenario.product_141326,"MBW-FL-500/W","Staffa per montaggio al soffitto, bianco"
scenario.product_142578,"Logo-Sticker D: Elektro-Material AG","Etichetta per depliant e cataloghi tascabili"
scenario.product_142146,"Indoor 180 C Kombi 2L KAL/BE","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, beige"
scenario.product_142162,"Indoor 180 C Kombi 2L KAL/S","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, nero"
scenario.product_142131,"Indoor 180 C Kombi EDI/DG","Rilevatore di movimento 10A, design EDIZIOdue, grigio scuro"
scenario.product_151099,"PD2 S 180 UP 12-48V EDI/DG","Rilevatore di presenza 12V-24V-48V, design EDIZIOdue, grigio scuro"
scenario.product_142134,"PD2 S 180 C KNX EDI/DG","Rilevatore di presenza KNX, design EDIZIOdue, grigio scuro"
scenario.product_142135,"PD2 S 180 C Master 1C EDI/DG","Rilevatore di presenza 1 canale, design EDIZIOdue, grigio scuro"
scenario.product_142579,"Logo-Sticker F: Elektro-Material SA","Etichetta per depliant e cataloghi tascabili"
scenario.product_142139,"Indoor 180 C Kombi STA/S","Rilevatore di movimento 10A, design Standard, nero"
scenario.product_151115,"PD2 S 180 UP 12-48V EDI/HG","Rilevatore di presenza 12V-24V-48V, design EDIZIOdue, grigio chiaro"
scenario.product_142142,"PD2 S 180 C KNX STA/S","Rilevatore di presenza KNX, design Standard, nero"
scenario.product_142151,"PD2 S 180 C Master 1C KAL/BE","Rilevatore di presenza 1 canale, design Kallysto, beige"
scenario.product_142580,"Logo-Sticker I: Elektro-Material SA","Etichetta per depliant e cataloghi tascabili"
scenario.product_142147,"Indoor 180 C Kombi KAL/BE","Rilevatore di movimento 10A, design Kallysto, beige"
scenario.product_142148,"Indoor 180 C Minuterie KAL/BE","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, beige"
scenario.product_141130,"Indoor R/90","Rilevatore di movimento 10A, bianco"
scenario.product_141131,"CDS R","Interruttore crepuscolare"
scenario.product_141133,"F2 CM/S","Faro per rilevatore di movimento RC-plus next, nero"
scenario.product_141136,"GL-AL-LT/W","Vetro di ricambio Lanterna, bianco"
scenario.product_141137,"GL-AL-LT/S","Vetro di ricambio Lanterna, nero"
scenario.product_141138,"GL-AL-OP","Vetro di ricambio opal"
scenario.product_141139,"GL-AL-BB","Vetro di ricambio soffiato a bollicine"
scenario.product_141141,"GL-AL-CR","Vetro di ricambio Cristal"
